condition,label,total_mean,total_sd,total_min,total_max,S_mean,S_sd,S_min,S_max,R_mean,R_sd,R_min,R_max,RS_mean,RS_sd,RS_min,RS_max
2D_normal,2D | Normal androgen (8 ng/ml),380.6,19.427815111329426,337.0,405.0,254.9,18.135324645563973,226.0,287.0,125.7,25.15968998219175,85.0,172.0,0.5004437827501252,0.1310683339092915,0.3373015873015873,0.7610619469026548
2D_ADT,2D | ADT (1 ng/ml),176.2,13.709850473291093,143.0,192.0,121.3,8.271033792700885,107.0,134.0,54.9,12.541531007018243,36.0,74.0,0.45569032197042175,0.11428236434787978,0.2781954887218045,0.6403508771929824
3D_normal,3D | Normal androgen (8 ng/ml),424.6,53.64550307341707,318.0,510.0,269.1,35.666370715283044,206.0,318.0,155.5,33.176045575083236,112.0,199.0,0.5847065289391445,0.13488433275600464,0.36893203883495146,0.8105726872246696
3D_ADT,3D | ADT (1 ng/ml),171.4,8.357032966310472,159.0,184.0,118.8,6.352952069707436,111.0,132.0,52.6,7.787168933572715,43.0,72.0,0.4450354322402658,0.07697949598621853,0.32575757575757575,0.6428571428571429
