sweep,metric,comparison,p_mannwhitney,p_ttest,stars_mw,stars_ttest,concordant
baseline,RS,ADT: 2D vs 3D,0.9097218891455553,0.8191706733752346,ns,ns,True
baseline,RS,Normal: 2D vs 3D,0.12122450301291662,0.19562183237998726,ns,ns,True
baseline,S,2D: Normal vs ADT,0.00018165114609146497,8.777048426350855e-14,***,***,True
baseline,S,3D: Normal vs ADT,0.0001796225049907081,2.7973051188105377e-10,***,***,True
baseline,S,ADT: 2D vs 3D,0.3244747902691404,0.48129422635105085,ns,ns,True
baseline,S,Normal: 2D vs 3D,0.30730753272470834,0.3010978289747788,ns,ns,True
baseline,total,2D: Normal vs ADT,0.00018165114609146497,1.1505863901278677e-15,***,***,True
baseline,total,3D: Normal vs ADT,0.00018165114609146497,4.109594043727182e-11,***,***,True
baseline,total,ADT: 2D vs 3D,0.17313184279928717,0.3816363385239682,ns,ns,True
baseline,total,Normal: 2D vs 3D,0.017257456083119765,0.032717267348398096,*,*,True
radius,R,Normal vs ADT @ r=100µm,0.00017661101166893502,1.3651708573069072e-09,***,***,True
radius,R,Normal vs ADT @ r=150µm,0.00018165114609146497,4.619532975500702e-09,***,***,True
radius,R,Normal vs ADT @ r=200µm,0.00018267179110955002,1.1931444288662082e-08,***,***,True
radius,R,Normal vs ADT @ r=250µm,0.00018267179110955002,2.5830215854388474e-09,***,***,True
radius,R,Normal vs ADT @ r=50µm,0.00018165114609146497,5.122387803885118e-07,***,***,True
radius,RS,Normal vs ADT @ r=100µm,0.053902557169387175,0.05841058225076873,ns,ns,True
radius,RS,Normal vs ADT @ r=150µm,0.011329696684474665,0.012608991427892655,*,*,True
radius,RS,Normal vs ADT @ r=200µm,0.0013149446697132139,0.0008352123235132515,**,***,True
radius,RS,Normal vs ADT @ r=250µm,0.017257456083119765,0.012623601902705808,*,*,True
radius,RS,Normal vs ADT @ r=50µm,0.4273553138978077,0.6080473755011364,ns,ns,True
radius,S,Normal vs ADT @ r=100µm,0.00018267179110955002,2.538681912007026e-12,***,***,True
radius,S,Normal vs ADT @ r=150µm,0.00018165114609146497,1.5295377613779012e-13,***,***,True
radius,S,Normal vs ADT @ r=200µm,0.00017861448837368162,7.709493193866011e-13,***,***,True
radius,S,Normal vs ADT @ r=250µm,0.0001806347208075351,1.528954306480037e-14,***,***,True
radius,S,Normal vs ADT @ r=50µm,0.00018165114609146497,6.012184231651566e-15,***,***,True
radius,total,Normal vs ADT @ r=100µm,0.00018267179110955002,3.170220111390427e-18,***,***,True
radius,total,Normal vs ADT @ r=150µm,0.00018165114609146497,1.4138722712478082e-17,***,***,True
radius,total,Normal vs ADT @ r=200µm,0.00018267179110955002,1.86248862242672e-14,***,***,True
radius,total,Normal vs ADT @ r=250µm,0.0001796225049907081,2.547318937737233e-16,***,***,True
radius,total,Normal vs ADT @ r=50µm,0.00018165114609146497,1.1043605543041392e-14,***,***,True
